interface,mac,cid,ipaddr,hostname,descr
,B4:E6:2D:0A:F3:46,tas-pl1-4934,192.168.86.201,tas-pl1-4934,tas-pl1-4934
,60:01:94:6F:D0:20,tas-pl2-4128,192.168.86.202,tas-pl2-4128,tas-pl2-4128
,DC:4F:22:22:4E:D0,tas-pl3-3792,192.168.86.203,tas-pl3-3792,tas-pl3-3792
,DC:4F:22:16:DC:81,tas-pl4-7297,192.168.86.204,tas-pl4-7297,tas-pl4-7297
,60:01:94:7F:D9:22,tas-fdl-6434,192.168.86.205,tas-fdl-6434,tas-fdl-6434
,BC:DD:C2:02:48:B1,tas-fdr-2225,192.168.86.206,tas-fdr-2225,tas-fdr-2225
,BC:DD:C2:02:5C:BE,tas-gld-7358,192.168.86.207,tas-gld-7358,tas-gld-7358
,DC:4F:22:2E:6A:0B,tas-cch-2571,192.168.86.208,tas-cch-2571,tas-cch-2571
,60:01:94:3A:1A:41,tas-try-6721,192.168.86.209,tas-try-6721,tas-try-6721
,EC:FA:BC:8C:EF:76,tas-ces-3958,192.168.86.210,tas-ces-3958,tas-ces-3958
,68:C6:3A:BD:5A:CE,tas-m1-6862,192.168.86.211,tas-m1-6862,tas-m1-6862
,DC:4F:22:36:E5:08,tas-m2-1288,192.168.86.212,tas-m2-1288,tas-m2-1288
,5C:CF:7F:BA:14:57,tas-kth-5207,192.168.86.215,tas-kth-5207,tas-kth-5207
,5C:CF:7F:B1:C4:47,tas-ofe-1095,192.168.86.216,tas-ofe-1095,tas-ofe-1095
,A0:20:A6:31:DD:92,tas-ofw-7570,192.168.86.217,tas-ofw-7570,tas-ofw-7570
,A0:20:A6:31:E7:3A,tas-gmr-1850,192.168.86.218,tas-gmr-1850,tas-gmr-1850
,A0:20:A6:31:DA:68,tas-gml-6760,192.168.86.219,tas-gml-6760,tas-gml-6760
,2C:AA:8E:35:CE:36,wyzebulb-garage-1,192.168.86.220,wyzebulb-garage-1,wyzebulb-garage-1
,2C:AA:8E:35:AA:12,wyzebulb-garage-2,192.168.86.221,wyzebulb-garage-2,wyzebulb-garage-2
,2C:AA:8E:39:2E:F0,wyzebulb-garage-3,192.168.86.222,wyzebulb-garage-3,wyzebulb-garage-3
,2C:AA:8E:3D:80:0F,wyzebulb-garage-4,192.168.86.223,wyzebulb-garage-4,wyzebulb-garage-4
,10:d5:61:cd:6f:38,tuya-lamp-1,192.168.86.225,tuya-lamp-1,tuya-lamp-1
,10:d5:61:cd:7b:85,tuya-lamp-2,192.168.86.226,tuya-lamp-2,tuya-lamp-2
,6c:f6:da:b9:56:09,vf-laptop,192.168.86.241,vf-laptop,vf-laptop
,70:3A:CB:46:ED:F4,google-wifi-puck-1,192.168.86.251,google-wifi-puck-1,google-wifi-puck-1
,70:3A:CB:46:EF:49,google-wifi-puck-2,192.168.86.252,google-wifi-puck-2,google-wifi-puck-2
,28:BD:89:30:EE:6D,google-wifi-puck-3,192.168.86.253,google-wifi-puck-3,google-wifi-puck-3
